calendar,businessDayConvention,endOfMonthConvention,contractType,statusDate,contractRole,legalEntityIDRecordCreator,contractID,legalEntityIDCounterparty,cycleAnchorDateOfInterestPayment,cycleOfInterestPayment,nominalInterestRate,dayCountConvention,accruedInterest,cyclePointOfInterestPayment,currency,amortizationDate,contractDealDate,initialExchangeDate,premiumDiscountAtIED,maturityDate,notionalPrincipal,cycleAnchorDateOfPrincipalRedemption,cycleOfPrincipalRedemption,cycleAnchorDateOfRateReset,cycleOfRateReset,rateSpread,marketObjectCodeOfRateReset,cyclePointOfRateReset,rateMultiplier,description,contrStrucObj.marketObjectCode,contrStruc.referenceType,contrStruc.referenceRole
NOCALENDAR,NULL,NULL,ANN,2022-01-01,RPA,NULL,ALease1,NULL,2022-01-01,P1YL0,0.05,30E360,0,E,USD,2030-01-01,2021-12-31,2022-01-01,0,2030-01-01,313,2023-01-01,P1YL0,NULL,NULL,0,NULL,B,1,Lease right-of-use assets,NULL,NULL,NULL
NOCALENDAR,NULL,NULL,ANN,2022-01-01,RPL,NULL,LLease1,NULL,2022-01-01,P1YL0,0.05,30E360,0,E,USD,2030-01-01,2021-12-31,2022-01-01,0,2030-01-01,388,2023-01-01,P1YL0,NULL,NULL,0,NULL,B,1,Lease liabilities,NULL,NULL,NULL
NOCALENDAR,NULL,NULL,ANN,2022-01-01,RPA,NULL,APE1,NULL,2022-01-01,P1YL0,0.05,30E360,0,E,USD,NULL,2021-12-31,2022-01-01,0,2070-01-01,270,2023-01-01,P1YL0,NULL,NULL,0,NULL,B,1,Premises and equipment,NULL,NULL,NULL
NOCALENDAR,NULL,SD,PAM,2022-01-01,RPA,NULL,ACash1,0,2022-01-01,P1YL0,0,30E360,0,E,USD,NULL,2021-12-31,2022-01-01,0,2030-01-01,14619,NULL,NULL,NULL,NULL,0,NULL,B,1,Cash and cash equivalents,NULL,NULL,NULL
NOCALENDAR,NULL,SD,PAM,2022-01-01,RPA,NULL,AAFS1,0,2022-01-01,P1YL0,0.005,30E360,0,E,USD,NULL,2021-12-31,2022-01-01,0,2023-01-01,388,NULL,NULL,NULL,NULL,0,NULL,B,1,AFS securities < 1Y,NULL,NULL,NULL
NOCALENDAR,NULL,SD,PAM,2022-01-01,RPA,NULL,AAFS2,0,2022-01-01,P1YL0,0.01,30E360,0,E,USD,NULL,2021-12-31,2022-01-01,0,2025-01-01,15194,NULL,NULL,NULL,NULL,0,NULL,B,1,AFS securities 1 to 5Y,NULL,NULL,NULL
NOCALENDAR,NULL,SD,PAM,2022-01-01,RPA,NULL,AAFS3,0,2022-01-01,P1YL0,0.018,30E360,0,E,USD,NULL,2021-12-31,2022-01-01,0,2028-01-01,2068,NULL,NULL,NULL,NULL,0,NULL,B,1,AFS securities 5 to 10Y,NULL,NULL,NULL
NOCALENDAR,NULL,SD,PAM,2022-01-01,RPA,NULL,AAFS4,0,2022-01-01,P1YL0,0.022,30E360,0,E,USD,NULL,2021-12-31,2022-01-01,0,2035-01-01,9571,NULL,NULL,NULL,NULL,0,NULL,B,1,AFS securities > 10Y,NULL,NULL,NULL
NOCALENDAR,NULL,SD,PAM,2022-01-01,RPA,NULL,AHTM1,0,2022-01-01,P1YL0,0.005,30E360,0,E,USD,NULL,2021-12-31,2022-01-01,0,2023-01-01,49,NULL,NULL,NULL,NULL,0,NULL,B,1,HTM securities - fixed rate < 1Y,NULL,NULL,NULL
NOCALENDAR,NULL,SD,PAM,2022-01-01,RPA,NULL,AHTM2,0,2022-01-01,P1YL0,0.01,30E360,0,E,USD,NULL,2021-12-31,2022-01-01,0,2025-01-01,580,NULL,NULL,NULL,NULL,0,NULL,B,1,HTM securities - fixed rate 1 to 5Y,NULL,NULL,NULL
NOCALENDAR,NULL,SD,PAM,2022-01-01,RPA,NULL,AHTM3,0,2022-01-01,P1YL0,0.018,30E360,0,E,USD,NULL,2021-12-31,2022-01-01,0,2028-01-01,4479,NULL,NULL,NULL,NULL,0,NULL,B,1,HTM securities - fixed rate 5 to 10Y,NULL,NULL,NULL
NOCALENDAR,NULL,SD,PAM,2022-01-01,RPA,NULL,AHTM4,0,2022-01-01,P1YL0,0.022,30E360,0,E,USD,NULL,2021-12-31,2022-01-01,0,2035-01-01,92018,NULL,NULL,NULL,NULL,0,NULL,B,1,HTM securities - fixed rate > 10Y,NULL,NULL,NULL
NOCALENDAR,NULL,SD,PAM,2022-01-01,RPA,NULL,AHTM5,0,2022-01-01,P1YL0,0.022,30E360,0,E,USD,NULL,2021-12-31,2022-01-01,0,2035-01-01,101,NULL,NULL,2022-01-01,P3ML1,0.01,YC_EA_AAA,B,1,HTM securities (CMO's) - variable rate > 10Y,NULL,NULL,NULL
NOCALENDAR,NULL,SD,PAM,2022-01-01,RPA,NULL,ANM1,0,2022-01-01,P1YL0,0.04,30E360,0,E,USD,NULL,2021-12-31,2022-01-01,0,2035-01-01,2543,NULL,NULL,NULL,NULL,0,NULL,B,1,Non-marketable and other equity securities,NULL,NULL,NULL
NOCALENDAR,NULL,SD,PAM,2022-01-01,RPA,NULL,ALoans1,0,2022-01-01,P1YL0,0.03,30E360,0,E,USD,NULL,2021-12-31,2022-01-01,0,2028-01-01,65854,NULL,NULL,2022-01-01,P3ML1,0.01,YC_EA_AAA,B,1,Net loans,NULL,NULL,NULL
NOCALENDAR,NULL,SD,PAM,2022-01-01,RPA,NULL,AOA1,0,2022-01-01,P1YL0,0.02,30E360,0,E,USD,NULL,2021-12-31,2022-01-01,0,2035-01-01,1928,NULL,NULL,NULL,NULL,0,NULL,B,1,Accrued interest receivable and other assets,NULL,NULL,NULL
NOCALENDAR,NULL,SD,PAM,2022-01-01,RPL,NULL,LDemand1,0,2022-01-01,P1YL0,0,30E360,0,E,USD,NULL,2021-12-31,2022-01-01,0,2028-01-01,125851,NULL,NULL,NULL,NULL,0,NULL,B,1,Noninterest-bearing demand deposits,NULL,NULL,NULL
NOCALENDAR,NULL,SD,PAM,2022-01-01,RPL,NULL,LDeposit1,0,2022-01-01,P1YL0,0.005,30E360,0,E,USD,NULL,2021-12-31,2022-01-01,0,2028-01-01,63352,NULL,NULL,2022-01-01,P3ML1,-0.01,YC_EA_AAA,B,1,Interest-bearing deposits,NULL,NULL,NULL
NOCALENDAR,NULL,SD,PAM,2022-01-01,RPL,NULL,AStB1,0,2022-01-01,P1YL0,0.015,30E360,0,E,USD,NULL,2021-12-31,2022-01-01,0,2028-01-01,121,NULL,NULL,2022-01-01,P3ML1,0.01,YC_EA_AAA,B,1,Short-term borrowings,NULL,NULL,NULL
